event_id,event_date,event_name,city,event_type,organizer,venue,capacity,attendance,ticket_price,revenue,costs,profit
1,2025-11-24,Event 001,Cairo,Conference,Creative Minds,Sky Center,350,214,55,13949,8509,5440
2,2025-10-07,Event 002,Cairo,Festival,Vision Hub,Grand Hall,130,69,75,9486,5234,4252
3,2025-01-14,Event 003,Aswan,Workshop,Creative Minds,Downtown Hub,818,647,127,86280,45964,40316
4,2025-05-23,Event 004,Cairo,Workshop,Creative Minds,Expo Arena,448,272,59,20075,14161,5914
5,2025-06-22,Event 005,Cairo,Conference,Vision Hub,Grand Hall,467,386,174,71997,47116,24881
6,2025-08-24,Event 006,Aswan,Conference,Vision Hub,Grand Hall,665,449,180,91453,62284,29169
7,2025-07-05,Event 007,Aswan,Workshop,Creative Minds,Grand Hall,146,94,94,10643,7139,3504
8,2025-02-21,Event 008,Luxor,Wedding,Vision Hub,Downtown Hub,473,295,114,39950,18026,21924
9,2025-05-17,Event 009,Mansoura,Corporate,Creative Minds,Grand Hall,723,650,63,50201,31521,18680
10,2025-03-25,Event 010,Luxor,Exhibition,Prime Events,Downtown Hub,804,646,76,60812,29813,30999
11,2025-01-29,Event 011,Alexandria,Conference,Prime Events,Expo Arena,374,184,74,23408,15869,7539
12,2025-06-11,Event 012,Alexandria,Corporate,Vision Hub,Expo Arena,758,575,56,37039,15833,21206
13,2025-10-15,Event 013,Aswan,Wedding,Creative Minds,Royal Garden,538,446,112,54045,38863,15182
14,2025-03-12,Event 014,Aswan,Exhibition,Nile Events,Grand Hall,212,114,180,23641,15350,8291
15,2025-08-05,Event 015,Aswan,Conference,Vision Hub,Expo Arena,710,558,155,91109,64702,26407
16,2025-01-06,Event 016,Mansoura,Corporate,Nile Events,Downtown Hub,649,428,107,48123,23088,25035
17,2025-03-22,Event 017,Luxor,Conference,Creative Minds,Downtown Hub,369,294,65,27927,19277,8650
18,2025-11-17,Event 018,Giza,Corporate,Elite Planners,Royal Garden,303,175,115,23271,13110,10161
19,2025-09-29,Event 019,Cairo,Festival,Prime Events,Expo Arena,119,67,112,13042,6017,7025
20,2025-05-04,Event 020,Aswan,Conference,Nile Events,Downtown Hub,597,303,156,49828,21109,28719
21,2025-09-01,Event 021,Aswan,Workshop,Prime Events,Royal Garden,721,540,74,49295,31390,17905
22,2025-12-20,Event 022,Alexandria,Corporate,Prime Events,Expo Arena,787,686,115,86567,59373,27194
23,2025-08-20,Event 023,Cairo,Workshop,Skyline Group,Grand Hall,446,205,170,44425,20357,24068
24,2025-04-23,Event 024,Cairo,Conference,Creative Minds,Downtown Hub,160,101,37,4751,3193,1558
25,2025-02-06,Event 025,Aswan,Workshop,Prime Events,Downtown Hub,597,377,158,62233,38954,23279
26,2025-10-20,Event 026,Aswan,Exhibition,Skyline Group,Expo Arena,516,329,44,16564,10005,6559
27,2025-07-01,Event 027,Luxor,Exhibition,Vision Hub,Downtown Hub,155,155,45,8468,4377,4091
28,2025-06-23,Event 028,Cairo,Workshop,Skyline Group,Nile Ballroom,649,521,55,36067,15955,20112
29,2025-08-25,Event 029,Alexandria,Conference,Vision Hub,Royal Garden,200,96,158,15909,11286,4623
